run,time
QD_t1_q256_e0_p90,516
QD_t2_q512_e0_p70,1201
QD_t8_q256_e0_p80,4248
QD_t6_q1024_e0_p80,3094
QD_t1_q128_e8_p90,525
QD_t4_q128_e8_p80,1481
MT_t6_q256_e0_p70,3601
QD_t6_q256_e8_p60,2762
QD_t2_q2048_e4_p70,779
QD_t8_q2048_e16_p60,4065
QD_t6_q512_e8_p90,2890
QD_t2_q512_e4_p80,1287
QD_t8_q128_e4_p60,2076
QD_t8_q1024_e0_p50,3558
MT_t2_q128_e0_p90,1095
QD_t4_q512_e4_p70,1663
QD_t1_q1024_e0_p60,537
QD_t4_q512_e0_p80,1664
QD_t1_q256_e8_p70,523
QD_t8_q128_e4_p90,1876
QD_t4_q1024_e2_p80,1620
MT_t1_q512_e0_p60,418
QD_t6_q256_e16_p60,1677
QD_t1_q2048_e0_p60,724
QD_t4_q256_e0_p80,1660
QD_t4_q2048_e4_p50,1830
QD_t8_q128_e0_p90,3496
QD_t4_q256_e4_p80,2505
QD_t8_q512_e0_p70,4189
MT_t2_q256_e0_p70,992
MT_t2_q256_e0_p90,1070
MT_t4_q512_e0_p70,2122
QD_t8_q256_e16_p90,3160
QD_t6_q128_e16_p70,1832
QD_t1_q128_e16_p70,513
QD_t4_q2048_e8_p80,1807
QD_t4_q128_e16_p50,1635
QD_t6_q512_e2_p50,2491
QD_t2_q1024_e8_p90,788
QD_t8_q128_e8_p90,1843
QD_t6_q512_e16_p90,3043
QD_t4_q2048_e2_p50,1866
MT_t4_q256_e0_p90,5739
QD_t2_q256_e8_p70,816
QD_t8_q512_e8_p50,3905
QD_t4_q1024_e4_p70,1633
QD_t4_q2048_e0_p50,1943
MT_t2_q512_e0_p70,987
MT_t4_q512_e0_p50,2050
MT_t6_q2048_e0_p70,3484
MT_t1_q256_e0_p90,450
QD_t8_q512_e2_p60,3995
MT_t4_q2048_e0_p60,2105
QD_t6_q1024_e2_p70,3415
QD_t6_q512_e0_p60,4062
QD_t8_q512_e16_p60,3646
