run,time
QD_t4_q1024_e0_p80,1773
QD_t4_q256_e4_p90,1435
QD_t8_q128_e0_p50,4344
QD_t4_q1024_e16_p90,1769
QD_t1_q1024_e2_p70,530
QD_t1_q256_e0_p70,526
QD_t2_q128_e2_p60,939
QD_t4_q256_e4_p70,1453
QD_t1_q512_e2_p60,526
QD_t2_q128_e2_p90,803
MT_t4_q1024_e0_p80,2253
QD_t1_q128_e2_p70,524
QD_t2_q512_e4_p50,1038
MT_t4_q256_e0_p50,1927
QD_t1_q512_e16_p60,515
QD_t4_q128_e8_p50,1966
QD_t8_q1024_e0_p80,4298
QD_t2_q1024_e16_p60,1012
QD_t1_q128_e4_p90,535
QD_t4_q512_e4_p80,1738
QD_t2_q128_e16_p60,787
QD_t8_q256_e8_p50,2858
QD_t8_q256_e16_p50,3793
QD_t8_q1024_e8_p80,3967
QD_t8_q1024_e4_p70,4049
MT_t4_q128_e0_p50,1769
QD_t1_q1024_e0_p50,512
QD_t4_q256_e16_p50,1367
QD_t1_q1024_e8_p80,551
QD_t4_q256_e0_p60,3009
QD_t8_q256_e2_p50,1784
QD_t8_q1024_e8_p70,4053
MT_t8_q128_e0_p70,9422
QD_t4_q512_e2_p70,1629
MT_t2_q256_e0_p60,905
MT_t1_q1024_e0_p90,462
QD_t1_q512_e8_p90,545
QD_t8_q512_e4_p70,3956
QD_t1_q512_e4_p50,506
QD_t8_q512_e2_p90,3753
QD_t2_q512_e0_p80,905
QD_t2_q128_e4_p80,799
MT_t1_q512_e0_p80,416
QD_t8_q256_e4_p70,2120
QD_t2_q512_e8_p50,743
MT_t4_q1024_e0_p70,2104
QD_t2_q512_e2_p60,760
MT_t2_q128_e0_p70,955
MT_t1_q128_e0_p90,464
QD_t8_q128_e2_p60,2131
QD_t8_q1024_e2_p70,4218
QD_t8_q1024_e16_p90,3614
QD_t2_q512_e16_p60,769
QD_t4_q512_e0_p60,3434
QD_t1_q1024_e4_p90,530
QD_t4_q128_e0_p50,1515
QD_t8_q256_e0_p50,4053
QD_t8_q1024_e4_p90,3592
QD_t8_q1024_e16_p60,4091
MT_t2_q1024_e0_p50,897
QD_t1_q128_e16_p90,535
MT_t2_q512_e0_p90,1076
QD_t1_q256_e4_p50,513
QD_t4_q128_e8_p90,1767
QD_t8_q256_e2_p80,1580
QD_t1_q128_e4_p50,513
QD_t4_q256_e2_p70,1353
QD_t8_q512_e4_p90,3910
QD_t1_q256_e0_p80,530
MT_t8_q512_e0_p90,10425
QD_t1_q128_e0_p70,516
QD_t4_q512_e16_p80,1713
QD_t4_q1024_e0_p50,2268
QD_t4_q1024_e8_p60,1698
QD_t2_q512_e0_p60,860
QD_t1_q256_e2_p70,518
QD_t2_q128_e0_p50,796
QD_t1_q128_e8_p80,519
MT_t4_q512_e0_p60,1965
QD_t1_q128_e0_p90,521
MT_t8_q1024_e0_p80,11166
QD_t8_q128_e4_p70,2000
QD_t4_q1024_e8_p70,2319
QD_t8_q1024_e0_p60,4122
QD_t4_q512_e4_p60,1617
QD_t8_q128_e16_p90,1912
QD_t4_q1024_e4_p70,2095
QD_t1_q512_e0_p80,550
MT_t1_q512_e0_p70,400
MT_t4_q256_e0_p60,1837
QD_t8_q256_e8_p80,2819
QD_t4_q128_e8_p60,1675
QD_t8_q128_e0_p60,4525
QD_t8_q256_e8_p60,3522
QD_t2_q256_e0_p50,825
QD_t8_q256_e16_p80,3096
MT_t4_q128_e0_p60,2131
QD_t1_q1024_e16_p50,514
QD_t1_q256_e8_p90,521
QD_t1_q512_e8_p50,516
MT_t2_q512_e0_p60,940
QD_t4_q512_e0_p90,1651
MT_t1_q256_e0_p80,447
QD_t1_q256_e8_p60,528
QD_t1_q1024_e2_p90,546
QD_t8_q512_e16_p70,3326
QD_t2_q128_e4_p60,779
MT_t4_q512_e0_p90,5185
QD_t2_q128_e16_p50,1076
QD_t1_q512_e4_p60,523
MT_t8_q128_e0_p80,12125
QD_t1_q256_e4_p90,531
QD_t2_q1024_e0_p90,1083
QD_t8_q256_e0_p60,4256
MT_t2_q1024_e0_p60,964
QD_t8_q1024_e16_p50,4305
QD_t4_q1024_e8_p90,1754
QD_t8_q512_e2_p50,3206
QD_t2_q128_e8_p70,780
QD_t8_q128_e2_p90,1861
QD_t2_q512_e2_p50,1013
QD_t1_q256_e16_p50,528
QD_t2_q256_e8_p90,785
QD_t8_q1024_e2_p80,3163
QD_t4_q512_e0_p50,1666
QD_t2_q256_e16_p60,765
QD_t4_q128_e0_p60,3197
QD_t4_q512_e2_p50,1680
QD_t2_q1024_e4_p90,796
QD_t1_q512_e0_p90,536
QD_t4_q1024_e16_p60,2091
QD_t2_q256_e2_p90,790
QD_t4_q1024_e0_p90,1710
MT_t8_q256_e0_p50,6418
QD_t2_q1024_e0_p60,824
QD_t4_q1024_e16_p80,1831
QD_t2_q1024_e16_p50,1139
QD_t1_q1024_e2_p60,510
QD_t1_q256_e0_p60,510
QD_t2_q128_e2_p70,842
MT_t4_q1024_e0_p60,1722
QD_t1_q256_e2_p90,529
QD_t2_q512_e8_p80,764
QD_t4_q512_e16_p50,1631
QD_t1_q128_e2_p60,519
QD_t8_q128_e16_p50,2142
QD_t1_q128_e8_p70,520
QD_t1_q512_e16_p50,516
QD_t8_q1024_e0_p90,4075
QD_t2_q256_e16_p90,805
MT_t1_q512_e0_p90,466
QD_t2_q128_e16_p90,1258
QD_t8_q1024_e8_p90,4198
QD_t4_q256_e8_p80,2703
QD_t4_q512_e4_p50,1604
QD_t1_q256_e16_p80,538
QD_t1_q256_e8_p50,527
QD_t1_q512_e2_p70,522
QD_t2_q256_e0_p80,895
QD_t8_q256_e2_p60,3014
QD_t1_q1024_e16_p80,524
QD_t2_q1024_e8_p50,719
MT_t2_q256_e0_p70,912
QD_t8_q512_e8_p90,3788
MT_t1_q1024_e0_p80,490
MT_t8_q1024_e0_p50,6700
QD_t4_q512_e4_p90,1747
QD_t1_q1024_e16_p60,521
QD_t4_q128_e16_p70,1846
QD_t1_q512_e8_p60,522
QD_t2_q256_e8_p50,780
QD_t4_q512_e8_p70,1703
QD_t8_q512_e4_p60,3703
MT_t1_q256_e0_p70,426
MT_t8_q128_e0_p60,6364
QD_t8_q512_e16_p80,3841
QD_t2_q128_e4_p90,795
QD_t8_q512_e0_p70,4059
QD_t1_q512_e0_p50,506
QD_t2_q512_e2_p90,798
QD_t2_q256_e2_p50,765
QD_t2_q128_e16_p70,794
MT_t1_q128_e0_p80,461
QD_t8_q128_e2_p70,1961
QD_t8_q1024_e16_p80,4332
QD_t2_q512_e16_p70,773
QD_t1_q1024_e4_p80,546
QD_t2_q1024_e2_p50,1197
QD_t2_q256_e0_p70,1044
QD_t1_q256_e16_p60,520
QD_t2_q1024_e4_p50,1120
QD_t8_q512_e0_p80,4234
QD_t2_q256_e4_p50,766
MT_t2_q512_e0_p80,1101
QD_t8_q256_e2_p90,3222
QD_t4_q128_e4_p50,1871
QD_t2_q256_e16_p50,754
QD_t2_q1024_e16_p90,771
QD_t4_q256_e2_p80,2637
QD_t4_q512_e16_p60,1635
QD_t4_q512_e8_p90,1725
QD_t8_q512_e4_p80,3629
QD_t1_q512_e4_p80,526
MT_t8_q512_e0_p80,11034
QD_t4_q1024_e16_p50,1660
QD_t1_q128_e0_p60,507
QD_t4_q1024_e0_p60,3636
QD_t4_q512_e16_p90,1759
MT_t8_q256_e0_p60,6247
QD_t1_q256_e2_p60,521
QD_t2_q512_e0_p50,784
QD_t2_q128_e0_p60,803
QD_t1_q1024_e8_p50,518
QD_t1_q256_e0_p50,509
QD_t1_q128_e0_p80,516
MT_t8_q1024_e0_p90,9758
QD_t4_q1024_e4_p90,2301
QD_t2_q128_e0_p80,853
QD_t8_q1024_e8_p50,4243
QD_t8_q1024_e0_p70,3998
QD_t1_q128_e2_p90,529
QD_t2_q512_e4_p70,1152
QD_t8_q128_e16_p80,1514
MT_t4_q256_e0_p70,1936
QD_t2_q1024_e0_p50,842
QD_t8_q256_e8_p90,3351
QD_t4_q128_e8_p70,1736
QD_t1_q1024_e0_p90,517
QD_t4_q128_e0_p80,1534
QD_t8_q128_e0_p70,4750
QD_t8_q256_e8_p70,3444
QD_t4_q256_e8_p50,1360
QD_t8_q1024_e4_p50,4090
QD_t2_q256_e0_p60,824
QD_t8_q256_e16_p70,3787
QD_t1_q256_e8_p80,524
QD_t1_q128_e16_p50,516
QD_t4_q256_e16_p70,1343
QD_t8_q512_e8_p70,3100
MT_t2_q512_e0_p50,899
QD_t2_q1024_e8_p60,1004
QD_t1_q1024_e2_p80,722
QD_t1_q1024_e8_p70,521
MT_t4_q512_e0_p80,2597
MT_t1_q1024_e0_p70,404
MT_t4_q1024_e0_p90,5368
QD_t8_q256_e4_p80,2903
QD_t8_q512_e4_p50,3042
QD_t1_q512_e4_p70,520
QD_t2_q128_e4_p70,777
QD_t1_q256_e4_p80,528
MT_t2_q1024_e0_p70,980
QD_t8_q256_e0_p70,3913
QD_t2_q512_e8_p70,804
QD_t1_q512_e0_p60,526
MT_t2_q128_e0_p50,922
QD_t1_q1024_e8_p60,527
QD_t8_q1024_e2_p90,2593
QD_t4_q1024_e2_p50,1756
QD_t1_q1024_e4_p70,522
QD_t4_q128_e0_p70,1545
QD_t4_q128_e16_p90,1747
QD_t8_q128_e8_p50,2173
QD_t2_q1024_e4_p60,1060
QD_t4_q128_e4_p80,1934
QD_t2_q256_e2_p60,795
QD_t2_q1024_e0_p70,1077
QD_t4_q128_e4_p60,1810
QD_t4_q128_e2_p60,1670
QD_t1_q1024_e2_p50,517
QD_t4_q256_e2_p50,1360
MT_t8_q256_e0_p80,11155
QD_t4_q256_e4_p50,1382
QD_t4_q1024_e4_p50,1662
QD_t8_q128_e4_p80,1913
MT_t8_q512_e0_p70,9302
QD_t1_q128_e0_p50,503
MT_t1_q128_e0_p60,393
QD_t1_q128_e2_p50,511
QD_t4_q256_e0_p90,2992
QD_t1_q128_e8_p60,536
QD_t2_q256_e16_p80,966
MT_t8_q1024_e0_p60,5958
QD_t4_q1024_e8_p50,1710
QD_t2_q512_e4_p90,1240
QD_t2_q128_e16_p80,992
QD_t1_q512_e2_p90,538
QD_t4_q256_e8_p90,1493
QD_t2_q512_e8_p90,770
QD_t1_q1024_e0_p70,524
MT_t2_q128_e0_p80,976
QD_t1_q256_e16_p90,530
MT_t4_q1024_e0_p50,1906
MT_t4_q256_e0_p80,2607
QD_t2_q256_e0_p90,1434
QD_t8_q256_e2_p70,3370
QD_t1_q1024_e16_p90,546
QD_t8_q128_e0_p80,4809
QD_t1_q128_e4_p80,521
QD_t8_q512_e8_p80,4047
MT_t2_q256_e0_p80,1068
